,datetime,counts,weekend_counts,weekday_counts,name,sens,counter
100010019,2018-03-31,40867.0,13616.0,27251.0,Kent Avenue Bike Path,0,Y2H13094302
100010017,2018-03-31,6997.0,1867.0,5130.0,Staten Island Ferry,0,Y2H13094300
100010018,2018-03-31,30513.0,9191.0,21322.0,Pulaski Bridge,0,Y2H13094301
100009426,2018-03-31,3466.0,1205.0,2261.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010018,2018-04-30,43068.0,15080.0,27988.0,Pulaski Bridge,0,Y2H13094301
100009426,2018-04-30,4640.0,1588.0,3052.0,Manhattan Bridge Ped Path,0,Y2H13074107
100009428,2018-04-30,89962.0,25220.0,64742.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2018-04-30,117531.0,33893.0,83638.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2018-04-30,51772.0,15887.0,35885.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009425,2018-04-30,58521.0,22629.0,35892.0,Prospect Park West,0,Y2H13094304
100010019,2018-04-30,66385.0,26691.0,39694.0,Kent Avenue Bike Path,0,Y2H13094302
100010017,2018-04-30,9708.0,3319.0,6389.0,Staten Island Ferry,0,Y2H13094300
100010018,2018-05-31,61426.0,10767.0,50659.0,Pulaski Bridge,0,Y2H13094301
100009426,2018-05-31,6673.0,1445.0,5228.0,Manhattan Bridge Ped Path,0,Y2H13074107
100010022,2018-05-31,88854.0,15469.0,73385.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100010019,2018-05-31,98152.0,23056.0,75096.0,Kent Avenue Bike Path,0,Y2H13094302
100009427,2018-05-31,179961.0,26237.0,153724.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010017,2018-05-31,12750.0,2558.0,10192.0,Staten Island Ferry,0,Y2H13094300
100009425,2018-05-31,74620.0,16815.0,57805.0,Prospect Park West,0,Y2H13094304
100009428,2018-05-31,134999.0,19975.0,115024.0,Ed Koch Queensboro Bridge Shared Path,0,Y2H19111445
100009427,2018-06-30,192233.0,42424.0,149809.0,Williamsburg Bridge Bike Path,0,Y2H13074108
100010022,2018-06-30,84015.0,19478.0,64537.0,Brooklyn Bridge Bike Path,0,Y2H13074106
100009425,2018-06-30,83889.0,27726.0,56163.0,Prospect Park West,0,Y2H13094304
