date,name,total,fillColor,wday
2017-10-02T00:00:00Z,1st Avenue - 26th St N,4630,Weekday,2
2017-10-03T00:00:00Z,1st Avenue - 26th St N,4148,Weekday,3
2017-10-04T00:00:00Z,1st Avenue - 26th St N,5058,Weekday,4
2017-10-05T00:00:00Z,1st Avenue - 26th St N,6571,Weekday,5
2017-10-06T00:00:00Z,1st Avenue - 26th St N,4995,Weekday,6
2017-10-07T00:00:00Z,1st Avenue - 26th St N,2552,Weekend,7
2017-10-08T00:00:00Z,1st Avenue - 26th St N,1739,Weekend,1
2017-10-09T00:00:00Z,1st Avenue - 26th St N,2318,Weekday,2
2017-10-10T00:00:00Z,1st Avenue - 26th St N,4169,Weekday,3
2017-10-11T00:00:00Z,1st Avenue - 26th St N,4438,Weekday,4
2017-10-12T00:00:00Z,1st Avenue - 26th St N,3244,Weekday,5
2017-10-13T00:00:00Z,1st Avenue - 26th St N,3251,Weekday,6
2017-10-14T00:00:00Z,1st Avenue - 26th St N,2325,Weekend,7
2017-10-15T00:00:00Z,1st Avenue - 26th St N,2461,Weekend,1
2017-10-16T00:00:00Z,1st Avenue - 26th St N,3040,Weekday,2
2017-10-17T00:00:00Z,1st Avenue - 26th St N,2969,Weekday,3
2017-10-18T00:00:00Z,1st Avenue - 26th St N,3981,Weekday,4
2017-10-19T00:00:00Z,1st Avenue - 26th St N,3815,Weekday,5
2017-10-20T00:00:00Z,1st Avenue - 26th St N,3345,Weekday,6
2017-10-21T00:00:00Z,1st Avenue - 26th St N,2636,Weekend,7
2017-10-22T00:00:00Z,1st Avenue - 26th St N,2422,Weekend,1
2017-10-23T00:00:00Z,1st Avenue - 26th St N,5046,Weekday,2
2017-10-24T00:00:00Z,1st Avenue - 26th St N,3382,Weekday,3
2017-10-25T00:00:00Z,1st Avenue - 26th St N,3864,Weekday,4
2017-10-26T00:00:00Z,1st Avenue - 26th St N,3006,Weekday,5
2017-10-27T00:00:00Z,1st Avenue - 26th St N,2966,Weekday,6
2017-10-28T00:00:00Z,1st Avenue - 26th St N,2345,Weekend,7
2017-10-29T00:00:00Z,1st Avenue - 26th St N,884,Weekend,1
2017-10-30T00:00:00Z,1st Avenue - 26th St N,1871,Weekday,2
2017-10-31T00:00:00Z,1st Avenue - 26th St N,2881,Weekday,3
2017-11-01T00:00:00Z,1st Avenue - 26th St N,2931,Weekday,4
2017-11-02T00:00:00Z,1st Avenue - 26th St N,3508,Weekday,5
2017-11-03T00:00:00Z,1st Avenue - 26th St N,3854,Weekday,6
2017-11-04T00:00:00Z,1st Avenue - 26th St N,2076,Weekend,7
2017-11-05T00:00:00Z,1st Avenue - 26th St N,1633,Weekend,1
2017-11-06T00:00:00Z,1st Avenue - 26th St N,2717,Weekday,2
2017-11-07T00:00:00Z,1st Avenue - 26th St N,2049,Weekday,3
2017-11-08T00:00:00Z,1st Avenue - 26th St N,2513,Weekday,4
2017-11-09T00:00:00Z,1st Avenue - 26th St N,2785,Weekday,5
2017-11-10T00:00:00Z,1st Avenue - 26th St N,1981,Weekday,6
2017-11-11T00:00:00Z,1st Avenue - 26th St N,1293,Weekend,7
2017-11-12T00:00:00Z,1st Avenue - 26th St N,1436,Weekend,1
2017-11-13T00:00:00Z,1st Avenue - 26th St N,1764,Weekday,2
2017-11-14T00:00:00Z,1st Avenue - 26th St N,2431,Weekday,3
2017-11-15T00:00:00Z,1st Avenue - 26th St N,2592,Weekday,4
2017-11-16T00:00:00Z,1st Avenue - 26th St N,2104,Weekday,5
2017-11-17T00:00:00Z,1st Avenue - 26th St N,2356,Weekday,6
2017-11-18T00:00:00Z,1st Avenue - 26th St N,1370,Weekend,7
2017-11-19T00:00:00Z,1st Avenue - 26th St N,1546,Weekend,1
2017-11-20T00:00:00Z,1st Avenue - 26th St N,2156,Weekday,2
2017-11-21T00:00:00Z,1st Avenue - 26th St N,2517,Weekday,3
2017-11-22T00:00:00Z,1st Avenue - 26th St N,1532,Weekday,4
2017-11-23T00:00:00Z,1st Avenue - 26th St N,487,Weekday,5
2017-11-24T00:00:00Z,1st Avenue - 26th St N,1031,Weekday,6
2017-11-25T00:00:00Z,1st Avenue - 26th St N,1390,Weekend,7
2017-11-26T00:00:00Z,1st Avenue - 26th St N,1321,Weekend,1
